Animal;TLOfADRR0
Lepus_europaeus;5277
Lepus_granatensis;5089
Lepus_hainanus;2965
Lepus_sinensis;5908
Lepus_timidus;8046
Lepus_tolai;7108
Lepus_townsendii;7571
Lipotes_vexillifer;3419
Litocranius_walleri;3536
Lobodon_carcinophaga;7189
Lophocebus_aterrimus;3108
Lophostoma_silvicolum;3408
Loris_lydekkerianus;4379
Loris_tardigradus;3936
Loxodonta_africana;4865
Lutra_lutra;3396
Lycaon_pictus;2654
Lynx_canadensis;3164
Lynx_lynx;4345
Lynx_pardinus;4355
Lynx_rufus;6013
Macaca_arctoides;3609
Macaca_assamensis;3281
Macaca_cyclopis;3858
Macaca_fascicularis;3633
Macaca_fuscata;3772
Macaca_leonina;5285
Macaca_mulatta;3705
Macaca_nemestrina;4467
Macaca_nigra;3798
Macaca_silenus;3345
Macaca_sylvanus;3927
Macaca_thibetana;3536
Macaca_tonkeana;3949
Macropus_robustus;3355
Macroscelides_proboscideus;5676
Macrotis_lagotis;3994
Madoqua_kirkii;2993
Madoqua_saltiana;2876
Mandrillus_leucophaeus;3501
Mandrillus_sphinx;3513
Manis_javanica;4130
Manis_pentadactyla;3993
Marmota_himalayana;3401
Martes_americana;4559
Martes_flavigula;5591
Martes_foina;4583
Martes_martes;4299
Martes_melampus;2673
Martes_pennanti;2618
Martes_zibellina;4249
Mazama_americana;3323
Mazama_nemorivaga;3938
Mazama_rufina;3379
Megaptera_novaeangliae;3480
Meles_anakuma;2951
Meles_meles;4315
Melogale_moschata;4348
Melursus_ursinus;4495
Mephitis_mephitis;4231
Meriones_libycus;3471
Meriones_meridianus;3149
Meriones_unguiculatus;3625
Mesocricetus_auratus;3768
Mesoplodon_densirostris;3594
Mesoplodon_europaeus;3598
Mesoplodon_ginkgodens;3227
Mesoplodon_grayi;3894
Metachirus_nudicaudatus;4210
Microcebus_murinus;3989
Micromys_minutus;3516
Micronycteris_megalotis;3936
Microtus_kikuchii;3172
Microtus_levis;2563
Microtus_ochrogaster;2924
Mirounga_leonina;16496
Mogera_robusta;4728
Mogera_wogura;4052
Monachus_schauinslandi;6796
Monodelphis_domestica;6540
Monodon_monoceros;3505
Moschus_anhuiensis;3081
Moschus_berezovskii;3232
Moschus_chrysogaster;3227
Moschus_moschiferus;2966
Mungotictis_decemlineata;4224
Muntiacus_crinifrons;3136
Muntiacus_muntjak;3258
Muntiacus_reevesi;3005
Muntiacus_vuquangensis;3378
Murina_leucogaster;5153
Murina_ussuriensis;7790
Mustela_altaica;2941
Mustela_erminea;3341
Mustela_frenata;4731
Mustela_kathiah;3856
Mustela_nigripes;3121
Mustela_nivalis;3258
Mustela_putorius;3087
Mustela_sibirica;3961
Mus_caroli;3762
Mus_cervicolor;4144
Mus_cookii;4239
Mus_famulus;3998
Mus_fragilicauda;3758
Mus_musculus;3431
Mus_spretus;3353
Mus_terricolor;4103
Myodes_glareolus;3299
Myodes_regulus;3484
Myodes_rufocanus;3480
Myospalax_aspalax;3771
Myospalax_psilurus;4013
Myotis_bombinus;5349
Myotis_brandtii;6141
Myotis_davidii;8033
Myotis_formosus;6896
Myotis_ikonnikovi;5886
Myotis_lucifugus;4877
Myotis_macrodactylus;6243
Myotis_muricola;4394
Myotis_myotis;4794
Myrmecobius_fasciatus;3136
Myrmecophaga_tridactyla;3598
Mystacina_tuberculata;3862
Naemorhedus_baileyi;2836
Naemorhedus_caudatus;3044
Naemorhedus_goral;2966
Naemorhedus_griseus;3111
Nandinia_binotata;7110
Nanger_dama;2952
Nanger_granti;3005
Nanger_soemmerringii;2928
Nasalis_larvatus;3505
Nasua_nasua;3193
Nectogale_elegans;5798
Neodon_irene;2926
Neofelis_nebulosa;6680
Neomys_fodiens;7192
Neophocaena_asiaeorientalis;3102
Neophocaena_phocaenoides;2873
Neophoca_cinerea;6821
Neotetracus_sinensis;7005
Neotragus_batesi;3773
Neovison_vison;4782
Niviventer_confucianus;3442
Niviventer_excelsior;3816
Niviventer_fulvescens;3851
Nomascus_gabriellae;3031
Nomascus_leucogenys;3202
Nomascus_siki;3072
Notoryctes_typhlops;3383
Nyctalus_noctula;4608
Nyctereutes_procyonoides;4342
Nycticebus_bengalensis;2999
Nycticebus_coucang;3003
Ochotona_collaris;4104
Ochotona_curzoniae;4805
Ochotona_princeps;3393
Octodon_degus;5804
Odocoileus_hemionus;3423
Odocoileus_virginianus;3387
Okapia_johnstoni;3561
Onychomys_leucogaster;3993
Orcaella_brevirostris;3429
Orcaella_heinsohni;3670
Orcinus_orca;3037
Oreamnos_americanus;3327
Oreotragus_oreotragus;3066
Ornithorhynchus_anatinus;5558
Orycteropus_afer;3819
Oryctolagus_cuniculus;4083
